Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long
17,Museum Fatahillah,"Museum Fatahillah memiliki nama resmi Museum Sejarah Jakarta adalah sebuah museum yang terletak di Jalan Taman Fatahillah No. 1, Jakarta Barat dengan luas lebih dari 1.300 meter persegi.\nBangunan ini dahulu merupakan balai kota Batavia (bahasa Belanda: Stadhuis van Batavia) yang dibangun pada tahun 1707-1710 atas perintah Gubernur-Jendral Joan van Hoorn. Bangunan ini menyerupai Istana Dam di Amsterdam, terdiri atas bangunan utama dengan dua sayap di bagian timur dan barat serta bangunan sanding yang digunakan sebagai kantor, ruang pengadilan, dan ruang-ruang bawah tanah yang dipakai sebagai penjara. Pada tanggal 30 Maret 1974, bangunan ini kemudian diresmikan oleh bapak Ali Sadikin sebagai Museum Sejarah Jakarta.",Budaya,Jakarta,5000,4.4,,"{'lat': -6.136448899999999, 'lng': 106.8130661}",-6.1364489,106.8130661
18,Museum Bank Indonesia,"Museum Bank Indonesia adalah sebuah museum di Jakarta, Indonesia yang terletak di Jl. Pintu Besar Utara No.3, Jakarta Barat (depan stasiun Beos Kota), dengan menempati area bekas gedung Bank Indonesia Kota yang merupakan cagar budaya peninggalan De Javasche Bank yang beraliran neo-klasikal, dipadu dengan pengaruh lokal, dan dibangun pertama kali pada tahun 1828.\nPada tahun 1625, di tempat ini pernah dibangun sebuah gereja sederhana untuk umat Protestan. Pada tahun 1628, gereja ini dibongkar karena digunakan untuk tempat meriam besar ketika puluhan ribu tentara Sultan Agung menyerang Batavia untuk pertama kali.Museum ini menyajikan informasi peran Bank Indonesia dalam perjalanan sejarah bangsa yang dimulai sejak sebelum kedatangan bangsa barat di Nusantara hingga terbentuknya Bank Indonesia pada tahun 1953 dan kebijakan-kebijakan Bank Indonesia, meliputi pula latar belakang dan dampak kebijakan Bank Indonesia bagi masyarakat sampai dengan tahun 2005. Penyajiannya dikemas sedemikian rupa dengan memanfaatkan teknologi modern dan multi media, seperti display elektronik, panel statik, televisi plasma, dan diorama sehingga menciptakan kenyamanan pengunjung dalam menikmati Museum Bank Indonesia. Selain itu terdapat pula fakta dan koleksi benda bersejarah pada masa sebelum terbentuknya Bank Indonesia, seperti pada masa kerajaan-kerajaan Nusantara, antara lain berupa koleksi uang numismatik yang ditampilkan juga secara menarik.\nPeresmian Museum Bank Indonesia dilakukan melalui dua tahap, yaitu peresmian tahap I dan mulai dibuka untuk masyarakat (soft opening) pada tanggal 15 Desember 2006 oleh Gubernur Bank Indonesia saat itu, Burhanuddin Abdullah, dan peresmian tahap II (grand opening) oleh Presiden RI Susilo Bambang Yudhoyono, pada tanggal 21 Juli 2009.\nMuseum Bank Indonesia buka setiap hari kecuali Senin dan hari libur nasional.",Budaya,Jakarta,2000,4.7,,"{'lat': -6.137127, 'lng': 106.813005}",-6.137127,106.813005
19,Kidzania,"KidZania adalah sebuah waralaba swasta Meksiko berupa pusat hiburan keluarga yang saat ini beroperasi di 23 lokasi, yang memungkinkan anak-anak melakukan pekerjaan orang dewasa dan mendapat bayaran. KidZania telah dikunjungi oleh lebih dari 31 juta pengunjung di seluruh dunia sejak pembukaannya, menjadikannya salah satu merek hiburan global yang paling cepat berkembang di dunia.",Taman Hiburan,Jakarta,185000,4.6,300,"{'lat': -6.225073499999999, 'lng': 106.8097144}",-6.2250735,106.8097144
20,Museum Taman Prasasti,"Museum Taman Prasasti adalah sebuah museum cagar budaya peninggalan masa kolonial Belanda yang berada di Jalan Tanah Abang No. 1, Jakarta Pusat. Museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di Indonesia, beserta koleksi kereta jenazah antik. Museum seluas 1,2 ha ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan para pematung, pemahat, kaligrafer dan sastrawan yang menyatu.",Budaya,Jakarta,2000,4.5,90,"{'lat': -6.172224099999998, 'lng': 106.8189695}",-6.1722241,106.8189695
21,Museum Wayang,"Museum Wayang adalah sebuah museum yang berlokasi di Jalan Pintu Besar Utara Nomor 27, Jakarta Barat.",Budaya,Jakarta,5000,4.5,150,"{'lat': -6.1349072, 'lng': 106.8124452}",-6.1349072,106.8124452
22,Masjid Istiqlal,"Masjid Istiqlal (arti harfiah: Masjid Merdeka) adalah masjid nasional negara Republik Indonesia yang terletak di bekas Taman Wilhelmina, di Timur Laut Lapangan Medan Merdeka yang di tengahnya berdiri Monumen Nasional (Monas), di pusat ibukota Jakarta. Masjid ini merupakan salah satu dari 10 masjid terbesar kapasitasnya di dunia yang dapat menampung lebih dari 200.000 jamaah. Di seberang Timur masjid ini berdiri Gereja Katedral Jakarta. Ketua Harian Badan Pengelola Masjid Istiqlal (BPMI) sekaligus Imam Besar Masjid Istiqlal adalah Prof. Dr. Nasaruddin Umar, M.A. Pembangunan masjid ini diprakarsai oleh Presiden Republik Indonesia saat itu, Ir. Soekarno. Peletakan batu pertama sebagai tanda dimulainya pembangunan Masjid Istiqlal dilakukan oleh Ir. Soekarno pada tanggal 24 Agustus 1961. Arsitek Masjid Istiqlal adalah Frederich Silaban, seorang Nasrani.Masjid ini memiliki gaya arsitektur modern dengan dinding dan lantai berlapis marmer, dihiasi ornamen geometrik dari baja antikarat. Bangunan utama masjid ini terdiri dari lima lantai dan satu lantai dasar. Bangunan utama itu dimahkotai satu kubah besar berdiameter 45 meter yang ditopang 12 tiang besar. Menara tunggal setinggi total 96,66 meter menjulang di sudut Selatan selasar masjid. Masjid ini mampu menampung lebih dari 200.000 jamaah.Selain digunakan sebagai aktivitas ibadah umat Islam, masjid ini juga digunakan sebagai kantor berbagai organisasi Islam di Indonesia, aktivitas sosial, dan kegiatan umum. Masjid ini juga menjadi salah satu daya tarik wisata yang terkenal di Jakarta. Kebanyakan wisatawan yang berkunjung umumnya wisatawan domestik di samping sebagian wisatawan asing yang beragama Islam. Masyarakat non-Muslim juga dapat berkunjung ke masjid ini setelah sebelumnya mendapat pembekalan informasi mengenai Islam dan Masjid Istiqlal, meskipun bagian yang boleh dikunjungi kaum non-Muslim terbatas dan harus didampingi pemandu.\nPada tiap hari besar Islam seperti Ramadhan, Idul Fitri, Idul Adha, Tahun Baru Hijriyah, Maulid Nabi Muhammad serta Isra dan Mi'raj, Presiden Republik Indonesia selalu mengadakan kegiatan keagamaan di masjid ini yang disiarkan secara langsung melalui televisi nasional (TVRI) dan sebagian televisi swasta.",Tempat Ibadah,Jakarta,0,4.7,,"{'lat': -6.17017, 'lng': 106.83139}",-6.17017,106.83139
23,Gereja Katedral,"Gereja Katedral Jakarta, atau bernama resmi Gereja Santa Maria Diangkat Ke Surga (bahasa Jerman: De Kerk van Onze Lieve Vrouwe ten Hemelopneming; bahasa Inggris: The Church of Our Lady of the Assumption) adalah sebuah gereja di Jakarta. Gedung gereja ini diresmikan pada 1901 dan dibangun dengan arsitektur neo-gotik dari Eropa, yakni arsitektur yang sangat lazim digunakan untuk membangun gedung gereja beberapa abad yang lalu.",Tempat Ibadah,Jakarta,0,4.8,,"{'lat': -6.169225000000001, 'lng': 106.833063}",-6.169225,106.833063
24,Museum Nasional,"Museum Nasional Republik Indonesia atau Museum Gajah, adalah sebuah museum arkeologi, sejarah, etnografi, dan geografi yang terletak di Jakarta Pusat dan persisnya di Jalan Merdeka Barat 12. Museum ini merupakan museum pertama dan terbesar di Asia Tenggara.",Budaya,Jakarta,5000,4.6,,"{'lat': -6.176402099999999, 'lng': 106.8215901}",-6.1764021,106.8215901
25,Pasar Tanah Abang,"Pasar Tanah Abang atau Pasar Sabtu dibangun oleh Yustinus Vinck pada 30 Agustus 1735. Yustinus Vinck mendirikan Pasar Tanah Abang Pasar atas izin dari Gubernur Jenderal Abraham Patramini. Izin yang diberikan saat itu untuk Pasar Tanah Abang adalah untuk berjualan tekstil serta barang kelontong dan hanya buka setiap hari Sabtu. Oleh karena itu, pasar ini disebut Pasar Sabtu. Pasar ini mampu menyaingi Pasar Senen (Welter Vreden) yang sudah lebih dulu maju.\nPada tahun 1740 terjadi Peristiwa Geger Pecinan, yaitu pembantaian orang-orang Tionghoa, perusakan harta benda, termasuk Pasar Tanah Abang diporakporandakan dan dibakar. Pada tahun 1881, Pasar Tanah Abang kembali dibangun dan yang tadinya dibuka pada hari Sabtu, ditambah hari Rabu, sehingga Pasar Tanah Abang dibuka 2 kali seminggu. Bangunan Pasar pada mulanya sangat sederhana,terdiri dari dinding bambu dan papan serta atap rumbia dari 229 papan dan 139 petak bambu. Pasar Tanah Abang terus mengalami perbaikan hingga akhir abad ke-19 dan bagian lantainya mulai dikeraskan dengan pondasi adukan. Pada tahun 1913, Pasar Tanah Abang kembali diperbaiki. Pada tahun 1926 pemerintah Batavia membongkar Pasar Tanah Abang dan diganti bangunan permanen berupa tiga los panjang dari tembok dan papan serta beratap genteng, dengan kantor pasarnya berada di atas bangunan pasar mirip kandang burung. Pelataran parkir di depan pasar menjadi tempat parkir kuda-kuda penarik delman dan gerobak. Di situ tersedia kobakan air yang cukup besar, dan di seberang jalan ada toko yang khusus menjual dedak makanan kuda. Beberapa puluh meter dari toko dedak ada sebuah gang yang dikenal sebagai Gang Madat, tempat lokalisasi para pemadat.\nPada zaman pendudukan Jepang, pasar ini hampir tidak berfungsi, dan menjadi tempat para gelandangan.\nPasar Tanah Abang semakin berkembang setelah dibangunnya Stasiun Tanah Abang. Di tempat tersebut mulai dibangun tempat-tempat seperti Masjid Al Makmur dan Klenteng Hok Tek Tjen Sien yang keduanya seusia dengan Pasar Tanah Abang. Pada tahun 1973, Pasar Tanah Abang diremajakan, diganti dengan 4 bangunan berlantai empat, dan sudah mengalami dua kali kebakaran, pertama tanggal 30 Desember 1978, Blok A di lantai tiga dan kedua menimpa Blok B tanggal 13 Agustus 1979. Pada tahun 1975 tercatat kiosnya ada 4.351 buah dengan 3.016 pedagang.",Pusat Perbelanjaan,Jakarta,0,4,45,"{'lat': -6.189009599999999, 'lng': 106.8119312}",-6.1890096,106.8119312
26,Pecinan Glodok,"Kawasan Glodok yang dikenal sebagai pusat perdagangan elektronik sendiri dulunya merupakan bekas Penjara Glodok yang angker. Lokasi ini berada di seberang Glodok-Pancoran di kawasan Harco. Sebelum terjadi kerusuhan Mei 1998, kawasan ini sempat menjadi pusat belanja elektronik bagi wisatawan Jepang, Taiwan, dan Hongkong. Di Pinangsia, masyarakat bisa menemukan produk perlengkapan rumah tangga dan bangunan. Selain wisata belanja, pecinan Glodok-Pancoran juga merupakan situs sejarah awal mula Kota Jakarta. Setelah etnis Tionghoa bermukim dan membangun bisnis, serta perkebunan tebu, Batavia mulai berkembang pesat.",Pusat Perbelanjaan,Jakarta,0,4.3,20,"{'lat': -6.142758799999999, 'lng': 106.8140791}",-6.1427588,106.8140791
27,Sea World,"Seaworld Indonesia adalah sebuah miniatur pesona laut yang terdapat dalam kompleks wisata pertama di Taman Impian Jaya Ancol.\nPada tanggal 2 Oktober 1992, Gubernur DKI masa itu, Wiyogo Atmodarminto meletakkan batu pertama pembangunan Seaworld Indonesia. Tidak sampai dua tahun, pada tanggal 3 Juni 1994 SeaWorld Indonesia sudah mulai beroperasi. Area Seaworld seluas 3 hektare dengan luas bangunan utama 4.500 m2 berisi berbagai macam akuarium, lorong Antasena (lorong bawah air), perpustakaan, museum, terapi ikan dokter, glow theatre, komputer edukatif layar sentuh berisi informasi berbagai spesies di Seaworld dan bermacam fasilitas pelengkap untuk pengunjung seperti tempat makan, toko suvenir, dan ruang serba guna.",Taman Hiburan,Jakarta,115000,4.5,180,"{'lat': -6.126477500000001, 'lng': 106.842963}",-6.1264775,106.842963
28,Wisata Agro Edukatif Istana Susu Cibugary,Kawasan Wisata Agro Edukatif Istana Susu “Cibugary” (Cibubur Garden Dairy ) merupakan suatu kawasan agro peternakan sapi perah bernuansa kebun dan taman. Wisata edukasi Cibubur Garden Dairy (CIBUGARY) merupakan salah wisata edukasi yang diminati siswa sekolah. Edukasi pengenalan peternakan sapi memberikan pengalaman yang tidak dapat dilupakan oleh siswa sekolah. Kegiatan edukasi yang tidak terlalu banyak dan menyenangkan ini sangat disukai siswa sekolah. Dengan berwisata edukasi ini dapat menambah ilmu dan pengalaman secara langsung bagi siswa sekolah. Paket wisata edukatif Istana Susu Cibugary dihargai antara Rp 35.000 sampai Rp 65.000 per orang. Harga tersebut sudah termasuk beberapa botol susu pasteurisasi dan goodybag cibugary.,Taman Hiburan,Jakarta,35000,4.5,,"{'lat': -6.3568093, 'lng': 106.9062371}",-6.3568093,106.9062371
29,Wisata Kuliner Pecenongan,"Pecenongan merupakan salah satu surga kuliner di Jakarta Pusat yang dikenal sejak zaman Jakarta masih bernama kota Batavia. Dulunya di kawasan ini terdapat pedagang kaki lima yang menjajakan kuliner di pinggir jalan, tetapi tahun demi tahun kawasan Pecenongan semakin ramai dengan adanya rumah makan-rumah makan yang mulai dibangun. Kawasan pecenongan ini cocok bagi kalian yang ingin berwisata kuliner dimalam hari, beragam jenis kuliner yang pastinya membuat kamu kebingungan ingin mencoba yang mana terlebih dahulu. Tak heran jika orang yang sudah pernah mencoba pergi kulineran ke sini pasti akan kembali lagi.",Pusat Perbelanjaan,Jakarta,0,5,,"{'lat': -6.166788700000001, 'lng': 106.8265261}",-6.1667887,106.8265261
30,Taman Menteng,"Taman Menteng adalah sebuah taman yang berlokasi di kawasan Menteng, Jakarta Pusat. Taman ini dulunya ditempati oleh Stadion Menteng.\nTaman ini berdiri di atas lahan seluas 2,9 hektar, dan memiliki koleksi 30 spesies tanaman yang berbeda. Taman Menteng juga memiliki beragam fasilitas pendukung seperti taman bermain untuk anak-anak serta lapangan futsal dan basket. Uniknya, di taman ini terdapat pula 44 sumur resapan untuk membantu penyerapan air hujan ke dalam tanah.",Taman Hiburan,Jakarta,0,4.5,,"{'lat': -6.1964087, 'lng': 106.8293106}",-6.1964087,106.8293106
31,Wisata Alam Mangrove Angke,"Jangan anggap di Jakarta tidak ada wisata alam. Langsung meluncur ke Jakarta Utara, tepatnya di Kamal Muara Penjaringan atau Pantai Indah Kapuk. Di daerah ini terdapat area wisata alam yaitu Taman Wisata Mangrove Jakarta yang sekarang dan beberapa tahun belakangan tengah hits. Di kawasan ini terdapat tiga area, satu berupa Suaka Margasatwa Muara Angke yang tertutup untuk umum, Hutan Mangrove milik Pemprov DKI tetapi kurang begitu menarik untuk wisata. Selanjutnya Taman Wisata Alam Mangrove Angke yang memang merupakan area wisata berbasis konservasi mangrove.",Cagar Alam,Jakarta,25000,4.3,,"{'lat': -6.105334, 'lng': 106.735584}",-6.105334,106.735584
32,Setu Babakan,"Setu Babakan atau Danau Babakan terletak di Srengseng Sawah, kecamatan Jagakarsa, Kotamadya Jakarta Selatan, Indonesia dekat Depok yang berfungsi sebagai pusat Perkampungan Budaya Betawi, suatu area yang diperuntukkan untuk pelestarian warisan budaya Jakarta, yaitu budaya asli Betawi.\nPerkampungan budaya Betawi ini didirikan pada tanggal 18 Agustus 2000 melalui Surat Keputusan Gubernur DKI Nomor 92 tahun 2000 yang dikeluarkan oleh Gubernur DKI Jakarta pada waktu itu yaitu Sutiyoso\nSitu Babakan merupakan danau buatan dengan area 30 hektare (79 akre) dengan kedalaman 1-5 meter dimana airnya berasal dari Sungai Ciliwung dan saat ini digunakan sebagai tempat wisata alternatif, bagi warga dan para pengunjung.\nTaman disekitarnya ditanami dengan beragam pohon buah-buahan yaitu Mangga, Palem, Melinjo, Rambutan, Jambu, Pandan, Kecapi, Jamblang, Krendang, Guni, Nangka Cimpedak, Nam-nam, dan Jengkol.\nBanyak kuliner khas Betawi terdapat disini, antara lain Kerak Telor, Toge Goreng, Arum Manis, Rujak Bebek, Soto Betawi, Es Potong, Es Duren, Bir Pletok, Nasi Uduk, Nasi Ulam, Lontong Sayur, dll.\nWisata budaya yang disajikan antara laim rumah-rumah khas Betawi yang dibagi menjadi 3 macam, pertama rumah Betawi gudang atau kandang, kedua rumah Betawi Kebaya atau Bapang, dan yang ketiga adalah rumah Joglo, hampir serupa dengan rumah khas Yogyakarta.\nKeseniannya berupa Lenong, Tari Topeng, Tanjidor, Marawis, Gambang Kromong, Tari Lenggang Nyai, dan Tari Narojeng.\nUpacara Adat yang ada di perkampungan Betawi Setu Babakan adalah Penganten Sunat, Pindah Rumah, Khatam Qur'an, dan Nujuh Bulan.\nMayoritas penduduk di Setu Babakan adalah Betawi, dengan program dari pemda DKI untuk memperbaiki sarana dan prasarana yang ada untuk mengakomodasi kebutuhan ruang terbuka hijau, serta area untuk resapan air, setu babakan berbenah diri dengan dukungan penuh dari pemda DKI\nFungsi dari Setu ini bukan hanya untuk tempat melestarikan kebudayaan betawi yang makin tergerus oleh zaman, tetapi digunakan juga sebagai tempat alternatif rekreasi yang berlokasi di selatan jakarta. selain fungsi utamanya sebagai penampung air resapan untuk selatan jakarta,",Budaya,Jakarta,0,4.4,,"{'lat': -6.341666699999999, 'lng': 106.8238889}",-6.3416667,106.8238889
33,Taman Suropati,"Taman Suropati (awalnya bernama Burgemeester Bisschopplein) adalah nama sebuah taman di Jakarta. Pada awalnya nama taman ini diambil dari nama wali kota Batavia pertama, G.J. Bisshop (1916–1920). Taman ini merupakan pusat kawasan Menteng, berada tepat di antara pertemuan tiga jalan utama, yaitu Menteng Boulevard (Jalan Teuku Umar), Orange Boulevard (Jalan Diponegoro), dan Nassau Boulevard (Jalan Imam Bonjol). Lapangan yang kini disebut sebagai Taman Suropati ini sejak tahun 1920 sudah menggantikan lapangan bundar yang luas dalam Rencana Moojen. Taman Suropati, yang disebut-sebut sebagai titik nol Republik Indonesia, menjadi taman yang rindang dan sejak beberapa tahun yang lalu dihiasi dengan patung-patung karya pematung dari negara-negara pendiri Perhimpunan Bangsa-Bangsa Asia Tenggara.",Taman Hiburan,Jakarta,0,4.6,,"{'lat': -6.1994034, 'lng': 106.8326228}",-6.1994034,106.8326228
